Symbol,Name,IPO date,Market cap,Merger pending?,Leverage factor,Momentum factor 10,Momentum factor 200,Last Close Price,Shares outstanding,Average trading volume,% traded,Action,DB Ptnr?
DNAA,Social Capital Suvretta Holdings Corp. I - Class A,6/30/2021,"$360,754,800 ",Y,0,0.96,0.97,9.58,"25,640,000","47,675",0.19%,Analyze,0.5
CFVI,CF Acquisition Corp. VI Class A,4/12/2021,"$369,628,000 ",Y,0,1.01,1.15,12.04,"30,700,000","2,829,591",9.22%,Analyze,0.5
DWAC,Digital World Acquisition Corp. Class A,9/30/2021,"$405,367,659 ",Y,0,0.82,0.53,12.5,"30,027,234","343,456",1.14%,Analyze,0.5
BREZ,Breeze Holdings Acquisition Corp.,12/23/2020,$0 ,Y,0,1,1.02,10.58,0,"10,444",0.00%,Analyze,
HYAC,HAYMAKER ACQUISITION CORP. III Class A,7/23/2019,$0 ,Y,0,0,0,0,0,"28,791",0.00%,Analyze,
LCAP,Lionheart Acquisition Corp. II - Class A,10/13/2020,$0 ,Y,0,1.18,1.18,1.8,0,"366,621",0.00%,Analyze,
SPK,SPK Acquisition Corp,7/23/2021,$0 ,Y,0,1.01,1.02,10.3,"6,596,275","33,515",0.51%,Analyze,
BENE,Benessere Capital Acquisition Corp. - Class A,1/28/2021,$0 ,Y,0,1,1.01,10.44,"10,723,239","20,260",0.19%,Analyze,
NMMC,North Mountain Merger Corp. - Class A,11/10/2020,$0 ,Y,0,1,1.01,10.01,"13,225,000","41,845",0.32%,Analyze,
GGPI,"Gores Guggenheim, Inc. Class A",5/13/2021,$0 ,Y,0,0.99,1,10.09,"80,000,000","4,050,977",5.06%,Analyze,
DUNE,Dune Acquisition Corporation - Class A,2/19/2021,"$11,702,335 ",Y,0,1.02,1.01,9.9,"1,182,054",181,0.02%,Analyze,
MCAE,Mountain Crest Acquisition Corp. III,6/17/2021,"$16,056,067 ",Y,0,0.54,0.5,4.97,"3,230,597","171,885",5.32%,Analyze,
RAM,Aries I Acquisition Corporation - Class A,1/4/2000,"$24,338,215 ",Y,0,1,1.03,10.6,"2,296,058","24,757",1.08%,Analyze,
